onset	duration	scoring_idx	scoring
1942.156	30	1	Wake
1972.156	30	1	Wake
2002.156	30	1	Wake
2032.156	30	1	Wake
2062.156	30	1	Wake
2092.156	30	1	Wake
2122.156	30	1	Wake
2152.156	30	1	Wake
2182.156	30	1	Wake
2212.156	30	1	Wake
2242.156	30	1	Wake
2272.156	30	1	Wake
2302.156	30	1	Wake
2332.156	30	1	Wake
2362.156	30	1	Wake
2392.156	30	1	Wake
2422.156	30	1	Wake
2452.156	30	3	N1
2482.156	30	3	N1
2512.156	30	4	N2
2542.156	30	4	N2
2572.156	30	4	N2
2602.156	30	4	N2
2632.156	30	4	N2
2662.156	30	4	N2
2692.156	30	4	N2
2722.156	30	6	Artefact
2752.156	30	6	Artefact
2782.156	30	4	N2
2812.156	30	4	N2
2842.156	30	4	N2
2872.156	30	4	N2
2902.156	30	4	N2
2932.156	30	4	N2
2962.156	30	4	N2
2992.156	30	4	N2
3022.156	30	4	N2
3052.156	30	4	N2
3082.156	30	4	N2
3112.156	30	4	N2
3142.156	30	4	N2
3172.156	30	4	N2
3202.156	30	4	N2
3232.156	30	3	N1
3262.156	30	4	N2
3292.156	30	4	N2
3322.156	30	4	N2
3352.156	30	4	N2
3382.156	30	6	Artefact
3412.156	30	6	Artefact
3442.156	30	6	Artefact
3472.156	30	6	Artefact
3502.156	30	6	Artefact
3532.156	30	6	Artefact
3562.156	30	6	Artefact
3592.156	30	6	Artefact
3622.156	30	6	Artefact
3652.156	30	6	Artefact
3682.156	30	6	Artefact
3712.156	30	6	Artefact
3742.156	30	6	Artefact
3772.156	30	6	Artefact
3802.156	30	6	Artefact
3832.156	30	6	Artefact
3862.156	30	6	Artefact
3892.156	30	6	Artefact
3922.156	30	6	Artefact
3952.156	30	6	Artefact
3982.156	30	6	Artefact
4012.156	30	6	Artefact
4042.156	30	6	Artefact
4072.156	30	6	Artefact
4102.156	30	6	Artefact
4132.156	30	6	Artefact
4162.156	30	6	Artefact
4192.156	30	6	Artefact
4222.156	30	6	Artefact
4252.156	30	6	Artefact
4282.156	30	6	Artefact
4312.156	30	6	Artefact
4342.156	30	6	Artefact
4372.156	30	6	Artefact
4402.156	30	6	Artefact
4432.156	30	6	Artefact
4462.156	30	6	Artefact
4492.156	30	6	Artefact
4522.156	30	6	Artefact
4552.156	30	6	Artefact
4582.156	30	6	Artefact
4612.156	30	6	Artefact
4642.156	30	6	Artefact
4672.156	30	6	Artefact
4702.156	30	6	Artefact
4732.156	30	6	Artefact
4762.156	30	6	Artefact
4792.156	30	6	Artefact
4822.156	30	6	Artefact
4852.156	30	6	Artefact
4882.156	30	6	Artefact
4912.156	30	6	Artefact
4942.156	30	4	N2
4972.156	30	6	Artefact
