onset	duration	scoring_idx	scoring
18866.02	30	2	REM
18896.02	30	2	REM
18926.02	30	2	REM
18956.02	30	2	REM
18986.02	30	2	REM
19016.02	30	2	REM
19046.02	30	2	REM
19076.02	30	2	REM
19106.02	30	2	REM
19136.02	30	2	REM
19166.02	30	2	REM
19196.02	30	2	REM
19226.02	30	2	REM
19256.02	30	2	REM
19286.02	30	2	REM
19316.02	30	2	REM
19346.02	30	2	REM
19376.02	30	2	REM
19406.02	30	2	REM
19436.02	30	2	REM
19466.02	30	2	REM
19496.02	30	2	REM
19526.02	30	2	REM
19556.02	30	2	REM
19586.02	30	2	REM
19616.02	30	2	REM
19646.02	30	2	REM
19676.02	30	2	REM
19706.02	30	2	REM
19736.02	30	2	REM
19766.02	30	2	REM
19796.02	30	2	REM
19826.02	30	2	REM
19856.02	30	2	REM
19886.02	30	2	REM
19916.02	30	2	REM
19946.02	30	2	REM
19976.02	30	2	REM
20006.02	30	2	REM
20036.02	30	1	Wake
20066.02	30	3	N1
20096.02	30	3	N1
20126.02	30	3	N1
20156.02	30	4	N2
20186.02	30	4	N2
20216.02	30	4	N2
20246.02	30	4	N2
20276.02	30	4	N2
20306.02	30	4	N2
20336.02	30	4	N2
20366.02	30	4	N2
20396.02	30	4	N2
20426.02	30	4	N2
20456.02	30	4	N2
20486.02	30	4	N2
20516.02	30	4	N2
20546.02	30	4	N2
20576.02	30	4	N2
20606.02	30	4	N2
20636.02	30	4	N2
20666.02	30	4	N2
20696.02	30	4	N2
20726.02	30	4	N2
20756.02	30	4	N2
20786.02	30	4	N2
20816.02	30	4	N2
20846.02	30	4	N2
20876.02	30	4	N2
20906.02	30	4	N2
20936.02	30	4	N2
20966.02	30	4	N2
20996.02	30	4	N2
21026.02	30	4	N2
21056.02	30	4	N2
21086.02	30	4	N2
21116.02	30	4	N2
21146.02	30	4	N2
21176.02	30	4	N2
21206.02	30	4	N2
21236.02	30	4	N2
21266.02	30	4	N2
21296.02	30	4	N2
21326.02	30	4	N2
21356.02	30	4	N2
21386.02	30	4	N2
21416.02	30	4	N2
21446.02	30	4	N2
21476.02	30	4	N2
21506.02	30	4	N2
21536.02	30	4	N2
21566.02	30	4	N2
21596.02	30	4	N2
21626.02	30	4	N2
21656.02	30	4	N2
21686.02	30	4	N2
21716.02	30	4	N2
21746.02	30	4	N2
21776.02	30	5	N3
21806.02	30	4	N2
21836.02	30	4	N2
21866.02	30	4	N2
21896.02	30	4	N2
21926.02	30	4	N2
21956.02	30	4	N2
21986.02	30	4	N2
22016.02	30	4	N2
22046.02	30	4	N2
22076.02	30	4	N2
22106.02	30	4	N2
22136.02	30	5	N3
22166.02	30	4	N2
22196.02	30	5	N3
22226.02	30	4	N2
22256.02	30	4	N2
22286.02	30	4	N2
22316.02	30	5	N3
22346.02	30	5	N3
22376.02	30	5	N3
22406.02	30	5	N3
22436.02	30	5	N3
22466.02	30	5	N3
22496.02	30	5	N3
22526.02	30	4	N2
22556.02	30	5	N3
22586.02	30	5	N3
22616.02	30	5	N3
22646.02	30	5	N3
22676.02	30	5	N3
22706.02	30	5	N3
22736.02	30	4	N2
22766.02	30	4	N2
22796.02	30	4	N2
22826.02	30	4	N2
22856.02	30	4	N2
22886.02	30	4	N2
22916.02	30	4	N2
22946.02	30	4	N2
22976.02	30	4	N2
23006.02	30	4	N2
23036.02	30	4	N2
23066.02	30	4	N2
23096.02	30	4	N2
23126.02	30	4	N2
23156.02	30	4	N2
23186.02	30	4	N2
23216.02	30	4	N2
23246.02	30	4	N2
23276.02	30	4	N2
23306.02	30	4	N2
23336.02	30	3	N1
23366.02	30	3	N1
23396.02	30	4	N2
23426.02	30	4	N2
23456.02	30	4	N2
23486.02	30	4	N2
23516.02	30	4	N2
23546.02	30	4	N2
23576.02	30	4	N2
23606.02	30	4	N2
23636.02	30	4	N2
23666.02	30	4	N2
23696.02	30	4	N2
23726.02	30	4	N2
23756.02	30	2	REM
23786.02	30	2	REM
23816.02	30	2	REM
23846.02	30	2	REM
23876.02	30	2	REM
23906.02	30	2	REM
23936.02	30	2	REM
23966.02	30	2	REM
23996.02	30	2	REM
24026.02	30	2	REM
24056.02	30	2	REM
24086.02	30	2	REM
24116.02	30	2	REM
24146.02	30	2	REM
24176.02	30	2	REM
24206.02	30	2	REM
24236.02	30	2	REM
24266.02	30	2	REM
24296.02	30	2	REM
24326.02	30	2	REM
24356.02	30	2	REM
24386.02	30	3	N1
24416.02	30	4	N2
24446.02	30	4	N2
24476.02	30	4	N2
24506.02	30	4	N2
24536.02	30	4	N2
24566.02	30	4	N2
